level,title,start_page,end_page,parent_chapter,major_chapter
6,General [model settings],306,306,General Tab,9. Plant Simulation User Interface
6,Model Language [model settings],307,308,General Tab,9. Plant Simulation User Interface
6,Date and Time Format [model settings],309,309,General Tab,9. Plant Simulation User Interface
6,Model Saving History [model settings],310,310,General Tab,9. Plant Simulation User Interface
6,Connect Objects Automatically [model settings],311,312,General Tab,9. Plant Simulation User Interface
6,Prohibit Access to the Computer [model settings],313,314,General Tab,9. Plant Simulation User Interface
5,Simulation Tab,315,322,Model Settings [Menu Item],9. Plant Simulation User Interface
6,Simulation [model settings],315,316,Simulation Tab,9. Plant Simulation User Interface
6,Maximum Depth of Calls [model settings],317,317,Simulation Tab,9. Plant Simulation User Interface
6,Maximum Number of Call Chains [model settings],318,318,Simulation Tab,9. Plant Simulation User Interface
6,Maximum Number of Suspended Methods [model settings],319,319,Simulation Tab,9. Plant Simulation User Interface
6,Tolerance For About Equal (~=) Comparison [model settings],320,320,Simulation Tab,9. Plant Simulation User Interface
6,Maximum Number of Samples [model settings],321,321,Simulation Tab,9. Plant Simulation User Interface
6,Worker Width [model settings],322,322,Simulation Tab,9. Plant Simulation User Interface
6,Maximum Edge Length [model settings],323,323,Simulation Tab,9. Plant Simulation User Interface
5,Units Tab,323,340,Model Settings [Menu Item],9. Plant Simulation User Interface
6,Units [model settings],323,325,Units Tab,9. Plant Simulation User Interface
6,Mass [model settings],326,326,Units Tab,9. Plant Simulation User Interface
6,Currency [model settings],327,328,Units Tab,9. Plant Simulation User Interface
6,Speed [model settings],329,330,Units Tab,9. Plant Simulation User Interface
6,Acceleration [model settings],331,332,Units Tab,9. Plant Simulation User Interface
6,Length [model settings],333,334,Units Tab,9. Plant Simulation User Interface
6,Time Scale [model settings],335,335,Units Tab,9. Plant Simulation User Interface
6,Daylight Saving Time,336,340,Units Tab,9. Plant Simulation User Interface
7,Daylight Saving Time [model settings],336,337,Daylight Saving Time,9. Plant Simulation User Interface
7,Month [model settings],338,338,Daylight Saving Time,9. Plant Simulation User Interface
7,Week [model settings],339,339,Daylight Saving Time,9. Plant Simulation User Interface
7,Day [model settings],340,340,Daylight Saving Time,9. Plant Simulation User Interface
7,Hour [model settings],341,341,Daylight Saving Time,9. Plant Simulation User Interface
5,3D Tab,341,343,Model Settings [Menu Item],9. Plant Simulation User Interface
